"project_name","commit_timestamp","commit_hash","loc","mc","ms","ml","me","ma","cc","cs","cl","ca","fa","tc","ts","tl","ta","uch","uunch","loc_catch","loc_finally","caught_exception"
"elasticsearch","2010-07-15 00:12:00","ca8ad830926dfb597a170c87af65290efc2ffe73",101746,"594","2057","0","2605","10866","57","733","0","836","147","488","281","0","769","0","117","2198","610","306"
"elasticsearch","2010-10-16 03:26:11","1587a3815e724566bc4ff1da0f6745e4e251c80d",126184,"642","2453","0","3044","12665","58","843","0","948","174","537","330","0","865","0","122","2622","648","387"
"elasticsearch","2011-01-17 09:46:42","c95544141b9fbfff6711f3848514aa1b344cf095",151574,"705","2848","0","3494","14886","105","994","0","1146","203","700","330","0","1027","0","132","3154","716","495"
"elasticsearch","2011-04-25 16:37:56","f3e032315fff2ee900be3c24535c30a1b908ca50",165696,"716","3009","0","3661","16017","110","1046","0","1218","204","778","348","0","1123","0","132","3331","744","537"
"elasticsearch","2011-07-27 22:27:11","ace3b1feebbb84ac767b05cc56b952b52b0e767f",191629,"794","3238","0","3959","18426","152","1168","0","1388","244","860","458","0","1304","1","141","3765","832","576"
"elasticsearch","2011-10-31 14:50:18","4693b1e875ed673dfb9b875303b764fb7026d2e8",200011,"828","3298","0","4050","18565","167","1145","0","1376","215","884","406","0","1279","1","144","3752","773","559"
"elasticsearch","2012-02-09 08:25:20","6b2b797e92aa885792f82211935eac7edbcf15a9",205054,"757","3405","0","4086","18951","183","1163","0","1411","231","1007","398","0","1394","1","146","3886","819","578"
"elasticsearch","2012-05-15 03:03:53","94fd152eb19ffd632045981e711641f4a042c466",274006,"857","4489","0","5231","23272","253","1397","0","1727","381","1369","727","0","2084","1","149","4662","1148","483"
"elasticsearch","2013-03-16 17:11:30","abf9a866788b2fab855b50728670e2aa2dd42c5a",361395,"989","6357","0","7175","30068","385","1578","0","2058","461","1775","886","0","2649","3","162","5510","1400","369"
"elasticsearch","2013-08-22 17:22:55","b0a14f0b631328f7b806ac531bf1e964f40a07b2",406873,"1029","7971","0","8804","33292","578","1365","0","2054","371","2044","714","0","2742","7","174","5643","1316","289"
