"project_name","commit_timestamp","commit_hash","loc","mc","ms","ml","me","ma","cc","cs","cl","ca","fa","tc","ts","tl","ta","uch","uunch","loc_catch","loc_finally","caught_exception"
"elasticsearch","2010-07-05 23:12:40","d4f86899e3fb23240723ec644f5528a99c118390",98608,"583","1949","1","2532","10556","80","699","22","800","143","476","280","0","822","0","116","929","272","311"
"elasticsearch","2010-10-07 01:49:12","cf5ed1d177611c7a34e6f8cbd494d5b6175509f5",124261,"641","2331","25","2996","12487","89","828","23","939","164","534","328","7","934","0","122","1139","298","400"
"elasticsearch","2011-01-08 02:19:49","8de7beadc8267cd9a8e068ec13421499441d8bed",145465,"685","2693","25","3402","14417","117","940","24","1080","190","658","330","7","1066","0","130","1305","319","480"
"elasticsearch","2011-04-11 20:10:56","e8503c1455bdd5e5ebfa869befd839aba2fc6715",163211,"711","2916","31","3652","15794","138","1038","32","1204","197","763","345","8","1192","0","132","1418","350","559"
"elasticsearch","2011-07-14 02:04:58","848638d53c6feafecedeb65d3d0000a023898121",188419,"790","3135","32","3950","18188","186","1158","39","1379","237","849","442","8","1415","1","141","1596","396","602"
"elasticsearch","2011-10-15 15:35:14","72ad72248034b2368c8931bb08bc060c73d6e701",201734,"841","3318","32","4184","19314","207","1226","38","1466","247","890","447","8","1472","1","145","1740","416","637"
"elasticsearch","2012-01-17 11:58:30","c2ef91afe6e7ea03ab112cb94415ac548f08ee1a",202117,"754","3312","6","4066","18793","221","1154","27","1397","211","890","382","0","1418","1","145","1695","374","596"
"elasticsearch","2012-04-19 16:28:14","98b1f368f5e54f73604000113fdb427cd90297d8",206720,"758","3321","6","4079","19090","223","1178","28","1424","236","1024","386","0","1558","1","146","1737","404","616"
"elasticsearch","2012-07-22 22:28:39","90e94ebab939a0b589b3c525c3c53f628b6e351c",223570,"769","3584","6","4353","20561","232","1262","28","1517","335","1074","534","1","1766","1","149","1913","571","654"
"elasticsearch","2012-10-24 01:41:46","d8013aecc353aa2cbd1a553feaf15c5eb232988b",233149,"800","3764","6","4564","21212","262","1304","28","1589","353","1190","558","1","1909","1","149","1976","596","676"
"elasticsearch","2013-01-26 15:11:14","360d7d942529b91d58ef0567dc3b8dcbc7a5060b",245572,"803","3825","3","4628","22560","280","1310","23","1610","342","1244","529","1","1942","1","149","2023","569","679"
"elasticsearch","2013-04-30 14:06:57","8c6ba59b83ec750fe118174c4d5b255c4b7f2170",261270,"825","4170","4","4997","22537","308","1444","28","1777","380","1331","699","4","2195","1","148","2069","576","603"
"elasticsearch","2013-08-01 14:09:41","31fd7764e782384e3a278815dbd2a7c3cf065ed5",277033,"858","4458","4","5318","23616","311","1393","28","1729","373","1380","669","4","2186","1","150","2124","574","499"
"elasticsearch","2014-02-03 17:20:40","1bd9dc129bb1beafd2101dd6f8ac2fe87444b578",361546,"989","6166","5","7157","30020","442","1584","30","2052","462","1776","869","9","2808","3","162","2578","711","389"
"elasticsearch","2014-05-07 23:25:06","82aad78ff2abb3f89264f4dd8abd7a598f9488e1",370798,"978","6828","2","7806","31004","483","1236","37","1751","335","1899","617","5","2684","3","163","2168","581","305"
"elasticsearch","2014-08-08 23:26:06","d01e79429a05d613b8fdff726a68464295033c0e",411577,"1026","7530","65","8621","33553","580","1360","97","2027","459","2010","821","10","3065","4","169","2627","687","331"
"elasticsearch","2015-05-16 01:54:35","1038933832afd66144fbbee3e285e711c829edff",429039,"510","8820","16","9346","33673","578","1541","116","2217","451","1358","1538","34","3145","7","173","2771","741","309"
"elasticsearch","2015-08-18 12:31:36","a72adbf0b4c4acaaa60635de44d99a82f9ffd3a1",466153,"486","9619","123","10222","36288","629","1726","142","2471","483","1486","1758","40","3548","6","162","3120","770","328"
"elasticsearch","2015-11-19 11:54:02","b5b3ff5eb0383d34edefa3af7763a7800b11083d",481373,"442","10178","372","10984","37840","751","2043","173","2940","472","1480","2444","39","4240","8","158","3587","746","303"
"elasticsearch","2016-02-20 12:13:02","7844804874d4887cce90697f4863b77f837ddeca",531757,"419","11251","402","12062","41793","818","2513","248","3543","494","1463","3144","70","4997","10","162","4187","757","302"
"elasticsearch","2016-05-23 17:43:16","bfce901edf3a07c211b3892b93e24e95f1ae38ca",560231,"429","11839","406","12664","43458","826","2343","246","3377","477","1522","3282","66","5221","10","160","4241","738","316"
"elasticsearch","2016-08-24 17:49:13","acbece5b558459ba4465fe3d4c2c77983ab3da2b",604678,"431","12555","422","13398","46681","789","2402","264","3411","521","1561","3438","94","5721","15","160","4650","838","784"
"elasticsearch","2016-11-25 19:52:52","590a6372ad71aa9795700649ebb6982c8cdab5e7",621118,"454","13030","420","13896","47695","664","2340","262","3223","527","1545","3664","100","5957","16","160","4437","856","756"
"hibernate-search","2007-12-01 03:10:49","33d6ad0745b8fafb80e16bb999a764c055180b6f",14470,"0","112","122","234","1348","9","119","16","141","29","83","66","46","205","0","1","171","46","20"
"hibernate-search","2008-03-07 18:17:13","98767ccb8abb22e94a7055a4991189eea86d2f7c",14974,"0","115","122","237","1391","9","125","13","144","29","85","67","46","211","0","1","178","46","22"
"hibernate-search","2008-06-09 18:58:31","2e54c4cbca5195e07edd806a2bc7ceef2f6d646a",16842,"0","155","123","278","1599","10","144","13","164","29","104","96","37","250","0","1","211","46","32"
"hibernate-search","2008-09-14 20:25:52","ee756e6ff98b806f94a93f71fc2402e128ee8d3c",19375,"0","180","123","303","1831","14","157","14","182","35","114","125","43","294","0","1","227","59","36"
"hibernate-search","2008-12-18 14:24:48","a2b768269ffebe95951a897803d62be2ea50b4b2",23229,"0","244","91","335","2114","14","168","14","193","37","125","133","52","320","0","1","233","60","39"
"hibernate-search","2009-03-26 14:38:55","2de239b0cc8b7d254c05a97716bbb0d72521bf87",24304,"0","247","94","341","2210","14","174","15","200","37","136","136","51","333","0","1","245","60","39"
"hibernate-search","2009-07-02 00:55:25","b0705f4d3b69a6ba01c03bf78a0c9bff2dab3436",27578,"0","294","94","388","2519","15","170","17","199","56","130","144","48","332","0","1","248","79","39"
"hibernate-search","2009-10-16 14:32:50","cd05ea8c1244bc3d118a15a7a919a4aef7004ab8",28864,"0","311","96","407","2648","15","177","21","210","56","137","144","48","340","0","1","265","79","44"
"hibernate-search","2010-01-19 15:34:11","a45a6f5ec9542d60d6a17e96d3a63f089ea78fcb",31363,"0","312","103","415","2928","15","181","21","214","65","147","154","47","359","0","1","269","96","50"
"hibernate-search","2010-04-25 12:49:36","1456ab8264cd3a4b2e632fec3af825e306a9bfea",34467,"0","329","104","433","3278","16","201","21","235","78","153","173","54","393","0","1","305","126","58"
"hibernate-search","2010-07-30 12:13:00","a02831d7d62223e99a6ae381a889387240462d47",39135,"0","370","105","475","4071","16","216","21","250","83","166","180","64","422","0","1","306","135","62"
"hibernate-search","2010-11-01 13:35:30","8cc1851422efed513027e160511dd09f2c8f75ef",48510,"0","449","105","554","4809","28","262","37","320","91","204","236","66","519","0","3","406","144","78"
"hibernate-search","2011-02-03 01:07:52","7bb12f733a02c712be6fee9e9263ebaa18883d94",51488,"0","481","103","584","5013","29","275","44","340","98","217","236","67","533","0","3","438","157","75"
"hibernate-search","2011-05-13 19:08:35","aff4ce8adc1e20624a9cc438e5785db79a46dc20",50859,"0","495","120","600","5288","45","241","25","308","98","218","222","58","512","0","3","411","150","65"
"hibernate-search","2011-08-18 10:58:15","999437becd344a3dea8c7e139dadda63e09ea60e",55661,"0","491","99","575","5820","58","244","20","317","104","254","217","56","544","1","3","431","155","61"
"hibernate-search","2011-11-22 17:30:27","02a1d06b6150aadb30fc130501ab329150f3dc8f",61062,"0","559","98","642","6301","62","263","27","344","120","231","223","61","577","1","3","466","172","62"
"hibernate-search","2012-02-29 13:29:51","d44326a6d5bb21de5a8c67d39156851e1bf96b6b",65572,"0","628","94","711","6644","91","277","23","383","138","225","221","64","581","1","3","499","190","66"
"hibernate-search","2012-06-01 21:19:24","08b136d831143f15567ba1fa076433d44d5a8a91",68077,"0","718","89","801","6912","94","284","23","393","151","228","229","66","596","1","3","506","208","68"
"hibernate-search","2012-09-05 23:02:20","2abdeb7422454a15d5ccb22f649c7a6fae98760b",72421,"0","756","89","839","7262","97","293","22","405","167","218","231","64","617","1","4","520","249","75"
"hibernate-search","2012-12-21 17:11:38","a82db51e99172c26d00ff1ad0fa11aac975b2376",75236,"0","780","89","863","7543","97","302","23","415","179","215","232","64","634","1","4","539","258","75"
"hibernate-search","2013-04-02 18:23:12","55bd781ed57706716ff0387b337ba1187f49653b",76338,"0","800","89","883","7662","97","303","23","416","182","214","233","64","635","1","4","542","262","76"
"hibernate-search","2013-07-07 00:27:33","277449eb02a367d76e32f7fd92ef9c57fa6a1f0c",79944,"0","806","89","889","8011","101","308","23","425","184","218","252","62","663","1","4","558","264","75"
"hibernate-search","2013-10-08 16:18:34","a3089a1f9fee49cb8f46af4128ef7da69404fd10",84273,"0","832","0","832","8309","112","304","23","432","189","206","244","62","660","1","4","568","264","66"
"hibernate-search","2014-01-09 19:46:22","e826b5e6331e6a2ba4971df35c32cb6aa2519b6e",83834,"0","829","0","829","8177","110","307","23","433","188","203","241","60","652","1","4","563","262","69"
"hibernate-search","2014-04-14 11:19:16","a9ac92c15a1633ff766fe1fbc9155a693eed147e",88450,"0","850","0","850","8487","126","309","24","452","210","200","233","64","655","1","5","578","282","81"
"hibernate-search","2014-07-23 14:52:05","446250d0108eea025db949eae645661bc46877ca",90235,"0","871","0","871","8545","123","311","25","452","223","197","232","64","655","0","5","568","297","81"
"hibernate-search","2014-10-27 23:11:40","682eca782c7868613e5cfe65a3c0aa7c443b4e62",91728,"0","895","0","895","8690","125","313","25","456","226","251","233","9","659","0","6","569","301","81"
"hibernate-search","2015-01-29 09:55:32","320cb500e6b0fb9800157cc00cb34e435bb89918",96231,"0","954","0","954","9089","135","312","30","468","229","244","236","9","674","0","6","579","304","83"
"hibernate-search","2015-05-06 00:32:51","6fcd7c425ee271853d6e987791aeebbe69ea89a9",99572,"0","1024","0","1024","9329","141","310","32","474","231","237","237","10","692","0","6","594","303","82"
"hibernate-search","2015-08-11 13:45:12","7007f94fa446415e68d8a1b19167b51464c7ef5d",99361,"0","1032","3","1035","9306","142","313","31","479","220","235","241","8","704","0","6","593","294","81"
"hibernate-search","2015-11-13 16:46:38","f4a2bf4b23772e2994d11510e42ffb6532f2a080",103096,"0","1148","11","1159","9621","142","326","31","492","217","235","249","8","724","0","6","607","289","83"
"hibernate-search","2016-02-17 20:48:05","3e54713018b3ec885689dffc927a970e6df98306",108410,"0","1184","11","1195","10060","146","343","32","514","211","242","280","8","768","0","6","628","287","87"
"hibernate-search","2016-05-21 21:06:12","361ee832d4be10a24b76a529767eda1f0b365d28",114993,"0","1232","11","1243","10673","153","348","34","528","209","252","268","8","795","0","7","666","288","90"
"hibernate-search","2016-08-24 14:27:54","4067e6c9daa8626e2d378259a41a2dc4d5db0c88",115499,"0","1235","11","1246","10699","153","349","34","529","208","252","271","8","798","0","7","667","287","90"
