"project_name","commit_timestamp","commit_hash","loc","mc","ms","ml","me","ma","cc","cs","cl","ca","fa","tc","ts","tl","ta","tf","tsm","uch","uunch","loc_catch","loc_finally","caught_exception"
"elasticsearch","2010-07-05 23:12:40","d4f86899e3fb23240723ec644f5528a99c118390",98608,"583","1949","1","2532","10556","60","717","23","800","143","476","280","0","822","66","145","0","116","929","272","311"
"elasticsearch","2010-10-07 01:49:12","cf5ed1d177611c7a34e6f8cbd494d5b6175509f5",124261,"641","2331","25","2996","12487","68","848","23","939","164","534","328","7","934","65","197","0","122","1139","298","400"
"elasticsearch","2011-01-08 02:19:49","8de7beadc8267cd9a8e068ec13421499441d8bed",145465,"685","2693","25","3402","14417","99","957","24","1080","190","658","330","7","1066","71","196","0","130","1305","319","480"
"elasticsearch","2011-04-11 20:10:56","e8503c1455bdd5e5ebfa869befd839aba2fc6715",163211,"711","2916","31","3652","15794","117","1058","29","1204","197","763","345","8","1192","76","205","0","132","1418","350","554"
"elasticsearch","2011-07-14 02:04:58","848638d53c6feafecedeb65d3d0000a023898121",188419,"790","3135","32","3950","18188","161","1182","36","1379","237","849","442","8","1415","116","259","1","141","1596","396","596"
"elasticsearch","2011-10-15 15:35:14","72ad72248034b2368c8931bb08bc060c73d6e701",201734,"841","3318","32","4184","19314","181","1251","34","1466","247","890","447","8","1472","127","260","1","145","1740","416","631"
"elasticsearch","2012-01-17 11:58:30","c2ef91afe6e7ea03ab112cb94415ac548f08ee1a",202117,"754","3312","6","4066","18793","194","1181","22","1397","211","890","382","0","1418","146","226","1","145","1695","374","595"
"elasticsearch","2012-04-19 16:28:14","98b1f368f5e54f73604000113fdb427cd90297d8",206720,"758","3321","6","4079","19090","195","1206","23","1424","236","1024","386","0","1558","148","231","1","146","1737","404","615"
"elasticsearch","2012-07-22 22:28:39","90e94ebab939a0b589b3c525c3c53f628b6e351c",223570,"769","3584","6","4353","20561","200","1294","23","1517","335","1074","534","1","1766","157","245","1","149","1913","571","653"
"elasticsearch","2012-10-24 01:41:46","d8013aecc353aa2cbd1a553feaf15c5eb232988b",233149,"800","3764","6","4564","21212","230","1336","23","1589","353","1190","558","1","1909","160","265","1","149","1976","596","675"
"elasticsearch","2013-01-28 11:29:32","bfdf8fe5905553e0b60046c2973d3829947a979c",245567,"803","3825","3","4628","22552","248","1342","20","1610","342","1247","529","1","1945","168","246","1","150","2026","569","678"
"elasticsearch","2013-05-01 12:53:31","0d3b7871dfef6cd8f883c9aadf7f2113ea2dbac7",261626,"826","4176","4","5004","22553","279","1478","25","1782","380","1334","699","4","2198","161","274","1","148","2071","576","603"
