"count","types"
"1","ClientHandlerException,"
"2","FTPConnectionClosedException,"
"1","FtpExceptionBadSystResponse,ParserInitializationException,"
"1","FtpExceptionControlClosedByForcedDataClose,FtpExceptionCanNotHaveDataConnection,FtpExceptionUnknownForcedDataClose,"
"1","FtpExceptionControlClosedByForcedDataClose,FtpExceptionUnknownForcedDataClose,FtpExceptionCanNotHaveDataConnection,"
"1","HttpAuthenticationException,"
"2","IndexingException,"
"7","JSONException,"
"1","JsonProcessingException,"
"1","MalformedServerReplyException,"
"2","MimeTypeException,"
"1","MissingDependencyException,CircularDependencyException,"
"1","MissingOptionException,"
"3","ParserNotFound,"
"8","PluginRuntimeException,"
"2","ProtocolNotFound,"
"9","ScoringFilterException,"
"4","SolrServerException,"
"1","URIException,"
"1","URLFilterException,"
