"count","commit_timestamp"
"613","2010-07-15 00:12:00"
"682","2010-10-16 03:26:11"
"740","2011-01-17 09:46:42"
"750","2011-04-25 16:37:56"
"839","2011-07-27 22:27:11"
"837","2011-10-31 14:50:18"
"763","2012-02-09 08:25:20"
"877","2012-05-15 03:03:53"
"2","2012-11-30 20:25:31"
"1015","2013-03-16 17:11:30"
"1054","2013-08-22 17:22:55"
"1060","2014-03-16 18:25:50"
"1038","2014-08-12 20:44:28"
"913","2014-12-04 09:42:40"
"926","2015-10-23 06:21:18"
"969","2016-04-04 06:41:09"
"962","2016-11-19 16:51:05"
