"code_lines","commit_timestamp"
923752,"2016-11-19 08:28:25"
909465,"2016-08-11 01:59:31"
876694,"2016-04-14 17:21:35"
838138,"2016-01-12 07:35:58"
816449,"2015-10-10 22:00:20"
789632,"2015-07-09 20:49:28"
748588,"2015-04-07 20:36:35"
719466,"2015-01-04 18:48:03"
712622,"2014-10-03 17:28:41"
688486,"2014-07-02 15:22:14"
666710,"2014-03-31 13:34:01"
647830,"2013-12-27 09:36:23"
610743,"2013-09-25 03:28:19"
579667,"2013-06-23 19:12:13"
560020,"2013-03-22 18:07:10"
538658,"2012-12-19 18:04:47"
515240,"2012-09-17 18:14:13"
493327,"2012-06-16 10:55:05"
482492,"2012-03-15 09:12:00"
410525,"2011-12-12 23:31:51"
400465,"2011-09-10 20:12:41"
346718,"2011-06-09 17:32:17"
327542,"2011-03-08 16:19:56"
320152,"2010-12-05 15:24:02"
307648,"2010-09-02 23:59:19"
291976,"2010-06-01 21:06:17"
177927,"2010-02-28 18:00:14"
169986,"2009-11-27 16:32:57"
171673,"2009-08-26 17:29:15"
72561,"2009-05-25 15:43:05"
65392,"2009-02-21 11:45:51"
60048,"2008-11-20 08:19:41"
117974,"2008-08-18 17:58:30"
113379,"2008-05-17 10:12:09"
37203,"2008-02-13 12:07:51"
33743,"2007-11-11 19:50:49"
114840,"2007-08-10 20:34:33"
108236,"2007-05-09 20:14:43"
103845,"2007-02-04 23:51:28"
16871,"2006-11-03 20:01:53"
15691,"2006-08-02 16:21:09"
67300,"2006-04-29 11:54:16"
9795,"2006-01-26 06:37:29"
65208,"2005-10-24 22:54:45"
64430,"2005-07-22 19:41:46"
58238,"2005-04-20 05:28:32"
54236,"2005-01-11 21:58:11"
64183,"2004-09-24 14:18:19"
62534,"2004-06-07 13:05:23"
61086,"2004-03-06 09:22:05"
55908,"2003-06-23 03:17:12"
59143,"2002-12-24 20:11:12"
47216,"2002-09-17 06:00:11"
44626,"2002-06-01 20:55:16"
7472,"2002-02-28 00:05:15"
